Line Item,Quantity,Ref Des,Description,Manufacturer,Manufacturer Part Number,Distributor,Distributor Part Number
,,,,,,,
Mainboard,,,,,,,
,,,,,,,
1,2,+ACI-C1, C2+ACI-,100nF,TDK,FG18X7R1H104KNT06 ,Mouser,810+AC0-FG18X7R1H104KNT06
2,2,+ACI-C16, C17+ACI-,10uF,Panasonic,ECE+AC0-A1VKA100I,Mouser,667+AC0-ECE+AC0-A1VKA100I
3,2,+ACI-D6, D7+ACI-,1N4001,Vishay	,1N4001+AC0-E3/54,Mouser,625+AC0-1N4001+AC0-E3/54
4,2,+ACI-FB1, FB2+ACI-,Ferrite Bead,Fair+AC0-Rite,2743001111,Mouser,623+AC0-2743001111
5,2,+ACI-J1, J2+ACI-,RCA,CUI Devices,RCJ+AC0-024,Mouser,490+AC0-RCJ+AC0-024
6,1,J7,10 pin power header,Wurth Elektronik,61201021621,Mouser,710+AC0-61201021621
7,6,+ACI-R1, R5, R6, R7, R8, R9+ACI-,75R resistor,KOA Speer,MF1/4DCT52R75R0F,Mouser,660+AC0-MF1/4DCT52R75R0F
8,2,+ACI-R2, R10+ACI-,499R resistor,KOA Speer,MF1/4DCT52R4990F,Mouser,660+AC0-MF1/4DCT52R4990F
9,3,+ACI-R3, R4, R11+ACI-,1k resistor,KOA Speer,MF1/4DCT52R1001F,Mouser,660+AC0-MF1/4DCT52R1001F
10,1,U1,LM6172,Texas Instruments,LM6172IN/NOPB,Mouser,926+AC0-LM6172IN/NOPB
11,2,+ACI-XS1, XS2+ACI-,6pin male connector (to break appart),GTK,40 Pin Header Strip,Tayda,A+AC0-197
12,2,+ACI-XS2, XS3 +ACI-,3pin header ,,,,
,,,,,,,
Controlboard,,,,,,,
,,,,,,,
13,5,+ACI-J1, J2, J3, J4, J5+ACI-,RCA,CUI Devices,RCJ+AC0-024,Mouser,490+AC0-RCJ+AC0-024
14,2,+ACI-XS1, XS2+ACI-,6pin female connector 2.54,GTK,A+AC0-1389,Tayda,A+AC0-1389
,,,,,,,
Hardware,,,,,,,
,,,,,,,
15,1,,M3 spacer FF 11mm,Wurth Elektronik,970110324,Mouser,710+AC0-970110324
16,4,,M3 spacer FF 10mm,Tayda Electronics,Standoff Spacer M3x10mm Female Silver,Tayda,A+AC0-1242
17,10,,M3 screws 6mm,Tayda Electronics,M3 Stainless Screw 3x6mm,Tayda,A+AC0-4372
18,2,,2.54mm jumpers,GTK,TYMJ2MH,Tayda,A+AC0-1324
19,1,,VU001 Control board,Syntonie,VU001+AF8-REVC+AF8-Controlboard,Syntonie,VU001+AF8-REVC+AF8-Controlboard
20,1,,VU001 Main board,Syntonie,VU001+AF8-REVC+AF8-Mainboard,Syntonie,VU001+AF8-REVC+AF8-Mainboard
21,1,,VU001 Front panel,Syntonie,VU001+AF8-REVC+AF8-FP,Syntonie,VU001+AF8-REVC+AF8-FP
